article_id,date,country,headline,news_topic,true_label,event_month,severity_weight,difficulty,hard_case_type,is_hard_case
ART000001,2022-01-01,Guinea,"Guinea's exporters say uncertainty over judicial reforms in Tunisia is delaying payments, even though domestic institutions remain unchanged",international,other,,0,hard,foreign_event_reference,yes
ART000002,2022-01-01,Guinea,"President Mamadou Keita meets coalition lawmakers as Guinea debates grain reserves, after talks with coalition deputies",politics,other,,0,easy,none,no
ART000003,2022-01-01,Guinea,"Diplomats say Guinea wants a broader regional deal on migration procedures, amid new talks on migration and trade",international,other,,0,easy,none,no
ART000004,2022-01-01,Mali,"Bar associations in Mali support a training plan for newly appointed magistrates, as reformers argue that efficiency is being mistaken for politicization",law,other,,0,hard,institutional_reform_noise,yes
ART000005,2022-01-01,Mali,"High Council of the Judiciary backs a digital filing reform meant to reduce case backlogs in Mali, with legal scholars calling the package largely administrative",law,other,,0,hard,institutional_reform_noise,yes
ART000006,2022-01-01,Mali,"Mali's central bank keeps rates unchanged as import bills fall after a good harvest, while the finance ministry revises forecasts",economy,other,,0,easy,none,no
ART000007,2022-01-01,Tunisia,"Finance officials in Tunisia revise growth expectations after a stronger quarter, with traders expecting a stable harvest season",economy,other,,0,easy,none,no
ART000008,2022-01-01,Tunisia,"Leila Gharbi asks for parliamentary hearings on port modernization in Tunisia, ahead of next month's budget session",politics,other,,0,easy,none,no
ART000009,2022-01-01,Tunisia,"Security forces in Tunisia escort commercial convoys through high-risk areas, while aid groups ask for more safeguards on the route",security,other,,0,easy,none,no
ART000010,2022-01-01,Bolivia,"Hospital unions in Bolivia press ministers for clarity on youth job programs, after a late-night meeting with ministers",society,other,,0,easy,none,no
ART000011,2022-01-01,Bolivia,"Council of Magistrates opens consultations on case backlogs and court staffing, as business groups lobby for clarity",law,other,,0,easy,none,no
ART000012,2022-01-01,Bolivia,"Finance officials in Bolivia revise growth expectations after a stronger quarter, while the finance ministry revises forecasts",economy,other,,0,easy,none,no
ART000013,2022-01-01,Thailand,"Student leaders in Thailand denounce a 'civilian coup' against campus unions after permit changes, while government allies dismiss the phrase as campaign theater",politics,other,,0,hard,metaphorical_language,yes
ART000014,2022-01-01,Thailand,"Thailand signs a memorandum on transport corridors and trade facilitation, while diplomats prepare a joint communiqué",international,other,,0,easy,none,no
ART000015,2022-01-01,Thailand,"Business leaders in Bangkok warn that port delays are raising costs for importers, as investors watch inflation data",economy,other,,0,easy,none,no
ART000016,2022-01-02,Guinea,"President Mamadou Keita meets coalition lawmakers as Guinea debates teacher hiring, while labor unions press for wage talks",politics,other,,0,easy,none,no
ART000017,2022-01-02,Guinea,"Guinea signs a memorandum on transport corridors and trade facilitation, amid new talks on migration and trade",international,other,,0,easy,none,no
ART000018,2022-01-02,Guinea,"Guinea and Liberia and Sierra Leone open talks on joint patrol coordination, amid new talks on migration and trade",international,other,,0,easy,none,no
ART000019,2022-01-02,Mali,"President Ibrahim Sissoko meets coalition lawmakers as Mali debates port modernization, as local election preparations begin",politics,other,,0,easy,none,no
ART000020,2022-01-02,Mali,"Mali's exporters say uncertainty over judicial reforms in Bolivia is delaying payments, even though domestic institutions remain unchanged",international,other,,0,hard,foreign_event_reference,yes
ART000021,2022-01-02,Mali,"Mariam Traore asks for parliamentary hearings on grain reserves in Mali, after talks with coalition deputies",politics,other,,0,easy,none,no
ART000022,2022-01-02,Tunisia,"Leila Gharbi asks for parliamentary hearings on municipal finance rules in Tunisia, after talks with coalition deputies",politics,other,,0,easy,none,no
ART000023,2022-01-02,Tunisia,"Civil society groups in Tunisia launch a campaign on youth job programs, as unions threaten further action",society,other,,0,easy,none,no
ART000024,2022-01-02,Tunisia,"Editors in Tunisia compare today's political mood with the 2022 institutional rupture, as investors ask whether the comparison is overdone",politics,other,,0,hard,historical_reference,yes
ART000025,2022-01-02,Bolivia,"President Lucia Quispe meets coalition lawmakers as Bolivia debates fuel subsidies, after talks with coalition deputies",politics,other,,0,easy,none,no
ART000026,2022-01-02,Bolivia,"Andean Community envoys visit La Paz to discuss customs reform, while diplomats prepare a joint communiqué",international,other,,0,easy,none,no
ART000027,2022-01-02,Bolivia,"University researchers in La Paz publish a report on lessons from the 2016 constitutional crisis, without any sign of an immediate rupture in state institutions",politics,other,,0,hard,historical_reference,yes
ART000028,2022-01-02,Thailand,"Prime Minister Aran Chaiyasit meets coalition lawmakers as Thailand debates electricity arrears, while labor unions press for wage talks",politics,other,,0,easy,none,no
ART000029,2022-01-02,Thailand,"Chaiyasit rejects calls for a cabinet reshuffle during talks in Bangkok, after talks with coalition deputies",politics,other,,0,easy,none,no
ART000030,2022-01-02,Thailand,"Pimchanok Saelim calls the budget rewrite a 'constitutional coup' against local councils in Thailand, in a speech that energizes supporters but blurs legal categories",politics,other,,0,hard,metaphorical_language,yes
ART000031,2022-01-03,Guinea,"Guinea's central bank keeps rates unchanged as currency pressure eases in urban markets, after exporters reported stronger shipments",economy,other,,0,easy,none,no
ART000032,2022-01-03,Guinea,"Finance officials in Guinea revise growth expectations after a stronger quarter, while the finance ministry revises forecasts",economy,other,,0,easy,none,no
ART000033,2022-01-03,Guinea,"Interior officials in Guinea announce new steps against rural road checkpoints, as border officials tighten inspections",security,other,,0,easy,none,no
ART000034,2022-01-03,Mali,"High Council of the Judiciary backs a digital filing reform meant to reduce case backlogs in Mali, as reformers argue that efficiency is being mistaken for politicization",law,other,,0,hard,institutional_reform_noise,yes
ART000035,2022-01-03,Mali,"Mali and Mauritania and Niger open talks on customs reform, as ministers seek financing for transport links",international,other,,0,easy,none,no
ART000036,2022-01-03,Mali,"Opposition speakers accuse ministers of a 'third-term mindset' even as no amendment reaches parliament, in a speech that energizes supporters but blurs legal categories",politics,other,,0,hard,metaphorical_language,yes
ART000037,2022-01-03,Tunisia,"University researchers in Tunis publish a report on lessons from the 2022 constitutional crisis, ahead of a televised roundtable on democratic safeguards",politics,other,,0,hard,historical_reference,yes
ART000038,2022-01-03,Tunisia,"Olive Oil exporters in Tunisia welcome a new logistics package, with traders expecting a stable harvest season",economy,other,,0,easy,none,no
ART000039,2022-01-03,Tunisia,"President Karim Ben Salem says judicial salaries and infrastructure will be discussed in the next budget, with legal observers calling it a routine test of procedure",law,other,,0,easy,none,no
ART000040,2022-01-03,Bolivia,"Traders in La Paz watch reports of coup rumors in Tunisia as border freight slows, as businesses hedge against spillovers from the neighboring crisis",international,other,,0,hard,foreign_event_reference,yes
ART000041,2022-01-03,Bolivia,"Movement for National Renewal lawmakers propose routine updates to court budgeting and case management, with legal scholars calling the package largely administrative",law,other,,0,hard,institutional_reform_noise,yes
ART000042,2022-01-03,Bolivia,"Editors in Bolivia compare today's political mood with the 2017 institutional rupture, ahead of a televised roundtable on democratic safeguards",politics,other,,0,hard,historical_reference,yes
ART000043,2022-01-03,Thailand,"Arab Maghreb Union envoys brief officials in Bangkok on tensions inside Tunisia, with most concern focused on trade and migration rather than regime change at home",international,other,,0,hard,foreign_event_reference,yes
ART000044,2022-01-03,Thailand,"Prime Minister Aran Chaiyasit meets coalition lawmakers as Thailand debates electricity arrears, ahead of next month's budget session",politics,other,,0,easy,none,no
