shot_id,country,headline,label,news_topic,difficulty,hard_case_type,is_hard_case
SHOT0001,Guinea,"Student leaders in Guinea denounce a 'civilian coup' against campus unions after permit changes, using rhetorical language rather than alleging an actual seizure of power",other,politics,hard,metaphorical_language,yes
SHOT0002,Tunisia,"Parliament debates a judicial transparency bill focused on publishing court statistics, after donor agencies offered technical assistance",other,law,hard,institutional_reform_noise,yes
SHOT0003,Thailand,"Thailand's exporters say uncertainty over judicial reforms in Guinea is delaying payments, as businesses hedge against spillovers from the neighboring crisis",other,international,hard,foreign_event_reference,yes
SHOT0004,Guinea,"Diplomats in Conakry discuss whether term-limit tensions in Bolivia could disrupt regional summits, with most concern focused on trade and migration rather than regime change at home",other,international,hard,foreign_event_reference,yes
SHOT0005,Thailand,"Teachers in Bangkok suspend a strike while negotiations continue over youth job programs, while parents and students call for clarity",other,society,easy,none,no
SHOT0006,Thailand,"Rice exporters in Thailand welcome a new logistics package, with traders expecting a stable harvest season",other,economy,easy,none,no
SHOT0007,Tunisia,"President Karim Ben Salem says judicial salaries and infrastructure will be discussed in the next budget, while bar associations follow the case closely",other,law,easy,none,no
SHOT0008,Tunisia,"Interior officials in Tunisia announce new steps against cross-border livestock theft, after commanders briefed lawmakers on the operation",other,security,easy,none,no
SHOT0009,Mali,"Malian Armed Forces begins a routine training exercise near Bamako, as border officials tighten inspections",other,security,easy,none,no
SHOT0010,Guinea,"Banks in Guinea tighten checks after political unrest in Mali unsettles cross-border transfers, as businesses hedge against spillovers from the neighboring crisis",other,international,hard,foreign_event_reference,yes
SHOT0011,Bolivia,"Justice Minister Valeria Soto rejects opposition claims of an imminent purge of judges, while opposition parties demand more transparency",other,politics,hard,denial_or_rumor,yes
SHOT0012,Guinea,"Traders in Conakry watch reports of coup rumors in Thailand as border freight slows, even though domestic institutions remain unchanged",other,international,hard,foreign_event_reference,yes
SHOT0013,Mali,"Mali's exporters say uncertainty over judicial reforms in Guinea is delaying payments, while local ministers stress that the risk is external, not domestic",other,international,hard,foreign_event_reference,yes
SHOT0014,Tunisia,"Flood mitigation plans dominate local radio in Tunis after heavy rain, despite promises of a rapid settlement",other,society,easy,none,no
SHOT0015,Guinea,"Columnists say President Mamadou Keita's cabinet is staging a 'judicial coup' in the battle over port fees, using rhetorical language rather than alleging an actual seizure of power",other,law,hard,metaphorical_language,yes
SHOT0016,Thailand,"Constitutional Court reviews technical amendments to election administration rules in Bangkok, while opposition parties search for broader political meaning in a narrow legal change",other,law,hard,institutional_reform_noise,yes
SHOT0017,Thailand,"Justice Minister Narin Phol rejects opposition claims of an imminent purge of judges, while opposition parties demand more transparency",other,law,hard,denial_or_rumor,yes
SHOT0018,Bolivia,"Council of Magistrates opens consultations on case backlogs and court staffing, with legal observers calling it a routine test of procedure",other,law,easy,none,no
SHOT0019,Mali,"University researchers in Bamako publish a report on lessons from the 2012 constitutional crisis, while ministers insist the current situation is different",other,politics,hard,historical_reference,yes
